       CAf	        SV	        CB
      1000	   1.21294	   157.564
      2000	   1.23903	   294.346
      3000	   1.25993	   416.943
      4000	   1.27729	   529.051
      5000	   1.29209	   632.993
      6000	   1.30495	   730.339
      7000	   1.31629	   822.212
      8000	   1.32641	   909.447
      9000	   1.33553	   992.687
     10000	   1.34381	   1072.44
