Name,Probability,k1,k2,E1,E2
ExpScen0,0.1,25.800350784967552,14.144215235968407,31505.74904933868,35000.0
ExpScen1,0.1,25.1283730831486,149.99999951481198,31452.3366518825,41938.78130161935
ExpScen2,0.1,22.225574065242643,130.92739780149637,30948.66911165926,41260.15420926035
ExpScen3,0.1,100.0,149.9999996987801,35182.7313074055,41444.52600370866
ExpScen4,0.1,82.99114366257251,45.95424665356903,34810.857217160396,38300.63334950135
ExpScen5,0.1,100.0,150.0,35142.202191502525,41495.411057950805
ExpScen6,0.1,2.8743643265327625,149.99999474412596,25000.0,41431.61195917287
ExpScen7,0.1,2.754580914039618,14.381786098093363,25000.0,35000.0
ExpScen8,0.1,2.8743643265327625,149.99999474412596,25000.0,41431.61195917287
ExpScen9,0.1,2.6697808222410906,150.0,25000.0,41514.74761132933
